Name,Phone Number,Province,Sport,Game Attendance,Age,Called,Call Center,Call Outcome,Applied,Decision
Romeo Rodriguez,940706734051,British Columbia,cricket,0.15,47,False,West,,,
River Humphrey,102387748428,Quebec,ice hockey,0.32,26,False,East,,,
Ayanna Wang,22198476031,Saskatchewan,baseball,0.61,23,False,West,,,
Chelsea Dominguez,143069119711,British Columbia,basketball,0.52,20,False,West,,,
Sammy Bush,988364697705,British Columbia,ice hockey,0.41,31,False,West,,,
Van Davila,271868681586,Saskatchewan,tennis,0.61,22,False,West,,,
Rowan Clark,95684637951,Ontario,ice hockey,0.54,32,False,South,,,
Jordan Hernandez,321589345586,New Brunswick,tennis,0.18,32,False,East,,,
Addison Moreno,612315185188,Quebec,soccer,0.2,18,False,East,,,
Micah Carson,382745945026,Saskatchewan,ice hockey,0.36,41,False,West,,,
Joyce Lam,838783660542,Quebec,ice hockey,0.36,76,False,East,,,
Nigel Roach,126826286984,Saskatchewan,cricket,0.31,32,False,West,,,
Trevor House,374198913338,Ontario,tennis,0.62,68,False,South,,,
Santino Merritt,68484984255,Manitoba,soccer,0.59,37,True,South,not interested,False,
Cole Anderson,972880214093,Saskatchewan,ice hockey,0.11,19,False,West,,,
Amira Berger,569818951463,Ontario,baseball,0.75,29,False,South,,,
Kayley Davila,422789142509,British Columbia,soccer,0.43,19,False,West,,,
Luciano Ashley,791781405293,British Columbia,soccer,0.16,34,False,West,,,
Itzel Ellis,46089867431,Nova Scotia,soccer,0.33,22,False,East,,,
Ronan Gordon,242693090680,British Columbia,baseball,0.62,18,True,West,not interested,False,
Devin Calhoun,735925663378,Saskatchewan,ice hockey,0.5,37,True,West,not interested,False,
Bo Ramsey,635039283582,Saskatchewan,cricket,0.39,27,False,West,,,
Anahi Werner,415300936530,British Columbia,soccer,0.18,25,False,West,,,
Vivian Rosales,977526910423,Ontario,ice hockey,0.44,44,False,South,,,
Antonio Haynes,167094050487,Alberta,tennis,0.66,19,False,West,,,
Samara Buck,588979213548,Ontario,soccer,0.24,19,True,South,interested,False,
Miles Rubio,714038443700,Ontario,soccer,0.73,38,False,South,,,
Cohen Christensen,177673018789,Ontario,soccer,0.38,61,False,South,,,
Jairo Smith,241147364303,Alberta,rugby,0.38,46,False,West,,,
Maximo Coleman,372143258372,Saskatchewan,soccer,0.62,64,False,West,,,
Jaiden Browning,278143761485,Manitoba,cricket,0.43,35,False,South,,,
Jaylan Ali,325335806320,Alberta,baseball,0.42,30,False,West,,,
Diego Garrett,329247151016,Manitoba,ice hockey,0.64,47,False,South,,,
Elisabeth Hartman,411543439740,Alberta,tennis,0.25,18,False,West,,,
Drake Lutz,37284138991,Alberta,cricket,0.43,23,False,West,,,
Cheyanne Schmidt,313875578633,Ontario,soccer,0.43,26,False,South,,,
Brenna Webster,74685103800,Manitoba,ice hockey,0.3,90,True,South,call back later,False,
Imani Wise,802926387914,Newfoundland and Labrador,cricket,0.51,26,True,East,answer machine,False,
Brennan Mendez,685446603527,British Columbia,cricket,0.21,30,False,West,,,
Natalia Barajas,388419397445,Nova Scotia,cricket,0.43,26,False,East,,,
Madisyn Medina,901132141793,Quebec,baseball,0.8,26,False,East,,,
Julia Graham,371083713033,Alberta,cricket,0.68,30,False,West,,,
Ignacio Kaufman,449539156296,New Brunswick,cricket,0.24,43,False,East,,,
Brent Strong,931683682773,Manitoba,ice hockey,0.13,24,True,South,not interested,False,
Lizeth Rasmussen,685293740928,Quebec,ice hockey,0.33,20,True,East,interested,True,rejected
Brayan Osborn,485000289770,Quebec,soccer,0.34,28,False,East,,,
Imani Willis,438431270560,Alberta,ice hockey,0.7,37,True,West,interested,True,approved
Logan Raymond,976821003,Ontario,soccer,0.16,24,False,South,,,
Izabelle Faulkner,206158519069,Newfoundland and Labrador,ice hockey,0.21,24,False,East,,,
Jovany Dalton,971179721922,New Brunswick,baseball,0.1,22,True,East,interested,False,
Libby Weaver,800094770731,Newfoundland and Labrador,ice hockey,0.31,40,False,East,,,
Donald Reynolds,436966488754,Manitoba,cricket,0.31,19,True,South,interested,True,rejected
Clara Perry,519263543935,Ontario,tennis,0.93,34,True,South,interested,True,rejected
Cortez Gillespie,568253675057,Saskatchewan,baseball,0.84,35,False,West,,,
Alexzander Levine,804659870190,Saskatchewan,tennis,0.23,42,False,West,,,
Tiffany Flowers,709387874549,Ontario,baseball,0.9,155,True,South,interested,False,
Nayeli Lamb,677741087242,Ontario,baseball,0.52,20,False,South,,,
Dominick Macias,457345571776,Nova Scotia,tennis,0.36,28,False,East,,,
Edward Soto,987836926778,Ontario,soccer,0.57,24,False,South,,,
Shyanne Weber,716314880063,Ontario,soccer,0.09,23,False,South,,,
Leroy Conner,205860526254,British Columbia,soccer,0.54,23,False,West,,,
Roland Hicks,808079893249,New Brunswick,ice hockey,0.58,30,False,East,,,
Ibrahim Mahoney,631940806409,British Columbia,soccer,0.51,49,True,West,not interested,False,
Carolyn Bond,582352640591,Saskatchewan,soccer,0.16,23,False,West,,,
Anderson Hodge,205810525089,British Columbia,ice hockey,0.17,23,False,West,,,
Eliza Sandoval,956301942077,Prince Edward Island,baseball,0.52,41,False,East,,,
Gretchen Liu,312053926733,Nova Scotia,ice hockey,0.22,45,False,East,,,
Zoie Gillespie,694796631404,Quebec,ice hockey,0.27,74,False,East,,,
Nathanael Blair,423084740792,Ontario,ice hockey,0.51,25,False,South,,,
Tyrese Wilcox,192579745817,British Columbia,soccer,0.53,90,False,West,,,
Denise Pruitt,101603308153,Ontario,baseball,0.24,32,False,South,,,
Celeste Douglas,423563549244,Manitoba,ice hockey,0.48,21,False,South,,,
Adrien Key,27190790515,Quebec,basketball,0.44,47,True,East,interested,False,
Mylee Mccarty,322497257118,Ontario,soccer,0.13,34,False,South,,,
Arturo Harvey,44222104417,Quebec,tennis,0.36,21,False,East,,,
Angelina Osborne,754760728373,British Columbia,soccer,0.63,20,True,West,interested,True,rejected
Aileen Farrell,623426025411,British Columbia,cricket,0.16,36,False,West,,,
Kyson Marshall,416632201879,Manitoba,baseball,0.59,18,True,South,interested,True,approved
Tessa Snow,995372421717,Manitoba,soccer,0.25,40,False,South,,,
Jakobe Oconnor,89669208886,British Columbia,tennis,0.66,22,False,West,,,
Rowan Larsen,678687107966,British Columbia,cricket,0.36,43,False,West,,,
Dalia Atkins,860355889946,Alberta,baseball,0.6,44,True,West,interested,False,
Jaiden Holloway,571374174554,Ontario,rugby,0.69,39,True,South,not interested,False,
Mara Stafford,507737448752,Alberta,ice hockey,0.62,39,False,West,,,
Ruth Reynolds,342546673300,Newfoundland and Labrador,ice hockey,0.89,42,False,East,,,
Jaxon Donaldson,973594044862,New Brunswick,baseball,0.57,42,True,East,dead line,False,
Conrad Little,392964971528,Alberta,soccer,0.44,40,False,West,,,
Keely Benton,619519238504,Alberta,rugby,0.56,63,True,West,not interested,False,
Corey Heath,760334862593,Saskatchewan,ice hockey,0.1,54,False,West,,,
Selina Camacho,107274420928,Ontario,baseball,0.4,27,False,South,,,
Easton King,775364729197,British Columbia,ice hockey,0.47,54,False,West,,,
Lia Travis,233042744674,Quebec,rugby,0.42,56,False,East,,,
Jack Nixon,303313230935,British Columbia,cricket,0.36,86,False,West,,,
Norah Stanton,292598247223,Quebec,tennis,0.13,28,False,East,,,
Franklin Prince,912180554332,Ontario,soccer,0.74,19,True,South,interested,True,rejected
Bridger Allen,400514573437,New Brunswick,ice hockey,0.08,26,True,East,interested,True,approved
Tess Ali,932577200609,British Columbia,baseball,0.32,18,False,West,,,
Daniela Porter,672218608392,British Columbia,cricket,0.64,58,True,West,interested,True,rejected
Thaddeus Caldwell,662422661564,Ontario,ice hockey,0.49,55,False,South,,,
Gary Wallace,605967762937,Quebec,soccer,0.63,20,False,East,,,
Zaria Gilmore,262074354271,British Columbia,baseball,0.23,25,False,West,,,
Presley Gilbert,53394840969,British Columbia,rugby,0.79,43,False,West,,,
Easton Rivera,542098410228,Ontario,cricket,0.62,92,False,South,,,
Kaliyah Knox,250647136751,Quebec,soccer,0.66,22,False,East,,,
India Ballard,131589492837,Nova Scotia,ice hockey,0.53,23,False,East,,,
Ivan Hunter,950754420049,Ontario,ice hockey,0.43,31,False,South,,,
Darien Osborn,48155228674,New Brunswick,ice hockey,0.22,20,False,East,,,
Martin Khan,59713978825,Ontario,ice hockey,0.66,31,False,South,,,
Braydon Suarez,117184075152,Quebec,soccer,0.4,72,False,East,,,
Cecilia Blair,608131912752,Manitoba,baseball,0.32,18,False,South,,,
Kayden Weiss,85304185328,Ontario,baseball,0.56,20,True,South,not interested,False,
Leila Stevens,633438799249,Prince Edward Island,ice hockey,0.13,48,False,East,,,
Lamont Pruitt,389028829749,Alberta,soccer,0.52,130,False,West,,,
Carlos Galloway,418379153033,Ontario,cricket,0.19,24,False,South,,,
Eliza Marshall,707424192243,Manitoba,tennis,0.15,26,False,South,,,
Rhett Braun,878553191424,Ontario,ice hockey,0.72,53,True,South,not interested,False,
Timothy Hatfield,429371517082,Newfoundland and Labrador,soccer,0.07,18,False,East,,,
Freddy Walker,654888461422,Alberta,ice hockey,0.27,61,False,West,,,
Emery Waller,103201304413,Manitoba,ice hockey,0.73,26,False,South,,,
Caylee Green,299576058084,Prince Edward Island,soccer,0.51,34,True,East,interested,False,
Marlon Calhoun,370259185369,Saskatchewan,rugby,0.55,32,True,West,interested,True,approved
Alisha Levine,326762674969,Quebec,cricket,0.49,34,False,East,,,
Aria Ballard,398886931991,Manitoba,soccer,0.52,31,False,South,,,
Brisa Beltran,161086822100,Ontario,baseball,0.43,99,True,South,not interested,False,
Bo Bell,791867374524,Quebec,soccer,0.49,24,False,East,,,
Bryce Bishop,675297703039,Ontario,ice hockey,0.56,19,False,South,,,
Brenda Floyd,996759389889,Alberta,soccer,0.22,41,False,West,,,
Jerome Stafford,482338572338,Nova Scotia,ice hockey,0.35,53,False,East,,,
Nathan Patrick,409896307258,Ontario,tennis,0.49,18,False,South,,,
Johnathon Willis,181602430353,Nova Scotia,ice hockey,0.62,27,False,East,,,
Koen Sweeney,921807717860,Quebec,cricket,0.84,18,False,East,,,
Manuel Oneill,515722740296,New Brunswick,cricket,0.48,25,False,East,,,
Gunner Joyce,361519777893,Saskatchewan,soccer,0.32,35,False,West,,,
Danna Chavez,946651541700,Ontario,rugby,0.53,18,False,South,,,
Liana Roman,947175657003,Ontario,basketball,0.52,39,True,South,not interested,False,
Lukas Chavez,149876727404,British Columbia,soccer,0.47,55,False,West,,,
Luis Odonnell,175461358756,Manitoba,tennis,0.83,38,True,South,interested,True,approved
Aryan Whitehead,274083105546,Saskatchewan,tennis,0.61,31,False,West,,,
Sophie Huang,583054495445,Quebec,soccer,0.58,51,True,East,interested,True,approved
Nathalie Wong,805502851071,Saskatchewan,cricket,0.23,48,False,West,,,
Jacqueline Hays,834737558787,British Columbia,ice hockey,0.89,23,False,West,,,
Josh Chase,563247743573,Ontario,cricket,0.46,32,True,South,interested,False,
Anton Houston,876403848303,Manitoba,ice hockey,0.21,66,False,South,,,
Lily Andersen,926708379437,Manitoba,baseball,0.87,31,True,South,not interested,False,
Rey Watson,934807577834,Ontario,baseball,0.4,39,False,South,,,
Titus Brady,356588266031,Ontario,ice hockey,0.29,48,False,South,,,
Raina Mckinney,380637478465,Manitoba,cricket,0.62,23,True,South,interested,True,rejected
Gaven Nixon,712261374028,Manitoba,basketball,0.18,18,False,South,,,
Lainey Harper,792127412271,Nova Scotia,ice hockey,0.88,44,True,East,not interested,False,
Nigel Burnett,69881059478,Quebec,ice hockey,0.63,21,False,East,,,
Halle Novak,179579041524,British Columbia,soccer,0.2,50,False,West,,,
Jarrett Diaz,354531867834,New Brunswick,baseball,0.48,20,False,East,,,
Esperanza Jefferson,707311487268,New Brunswick,ice hockey,0.3,30,True,East,not interested,False,
Paulina Mckenzie,481185431188,Nova Scotia,soccer,0.76,42,False,East,,,
Sarahi Snyder,174643306067,British Columbia,ice hockey,0.32,71,True,West,not interested,False,
Izayah Trevino,765695062508,Manitoba,ice hockey,0.64,36,False,South,,,
Vincent Snyder,292497310935,Ontario,cricket,0.12,89,False,South,,,
Guadalupe Carr,601923524576,Nova Scotia,tennis,0.5,31,False,East,,,
Dereon Weber,784536025271,Ontario,soccer,0.37,71,True,South,call back later,False,
Paul Hopkins,595654194556,Newfoundland and Labrador,baseball,0.27,24,False,East,,,
Mark Mora,364631665894,Ontario,tennis,0.1,19,True,South,interested,False,
Arabella Rose,543142693922,British Columbia,ice hockey,0.82,56,False,West,,,
Noelle Roth,920631083439,Saskatchewan,cricket,0.54,35,False,West,,,
Bo Webster,929063730046,Ontario,soccer,0.75,92,False,South,,,
Tiffany Santiago,673051789180,Quebec,rugby,0.17,33,True,East,not interested,False,
Arjun Stanton,430426340574,Manitoba,cricket,0.16,40,False,South,,,
Taniyah Fritz,46975931537,Ontario,ice hockey,0.87,24,False,South,,,
Julius Montoya,699814726068,Alberta,cricket,0.65,47,False,West,,,
Carolina Rodriguez,935438496874,Ontario,tennis,0.79,20,True,South,interested,True,approved
Shamar Huang,500089122906,Alberta,baseball,0.73,57,False,West,,,
Lizeth Atkinson,237272372686,Alberta,ice hockey,0.4,31,False,West,,,
Kaeden Hoffman,581720254144,British Columbia,basketball,0.45,47,False,West,,,
Amari Pruitt,1990092916,Newfoundland and Labrador,basketball,0.4,21,False,East,,,
Amina Lester,733556910076,Alberta,ice hockey,0.14,37,False,West,,,
Jeffrey Pham,91567296900,British Columbia,baseball,0.3,46,False,West,,,
Abbigail Livingston,156164731672,Ontario,cricket,0.19,39,False,South,,,
Karter Morse,280887087562,Ontario,baseball,0.13,33,False,South,,,
Faith Stephenson,997334703367,Alberta,rugby,0.87,43,False,West,,,
Adison Jackson,580966209698,Alberta,ice hockey,0.65,35,False,West,,,
Ramon Meadows,519817027684,Quebec,soccer,0.44,18,False,East,,,
Alicia Rich,99930749684,Ontario,ice hockey,0.95,56,False,South,,,
Zoey Blake,394628653048,Ontario,tennis,0.18,42,False,South,,,
Kelton Cummings,184929194391,Manitoba,cricket,0.23,21,False,South,,,
Kiara Madden,137352072345,Saskatchewan,baseball,0.23,28,False,West,,,
Todd Villegas,837841948877,Alberta,cricket,0.35,83,False,West,,,
Chandler Berg,324834826896,Manitoba,soccer,0.63,39,True,South,interested,True,rejected
Bruce Blackburn,445409912835,Quebec,ice hockey,0.62,53,False,East,,,
Luka Eaton,557123186350,Ontario,ice hockey,0.44,72,False,South,,,
Fatima Leblanc,267448267671,Ontario,tennis,0.39,25,False,South,,,
Leilani Lam,775180712645,Nova Scotia,baseball,0.27,30,True,East,not interested,False,
Alexa Rowe,786673601942,Newfoundland and Labrador,ice hockey,0.16,49,False,East,,,
Joe Frederick,867984162340,Quebec,cricket,0.26,64,True,East,interested,False,
Isabella Osborne,364291791180,Manitoba,tennis,0.4,33,False,South,,,
Reginald Anderson,522548582412,Alberta,tennis,0.12,38,True,West,not interested,False,
Addyson Huang,136445798470,Quebec,soccer,0.31,27,False,East,,,
Mario Lowe,788935557278,Quebec,baseball,0.1,28,False,East,,,
Emilia Carrillo,262616234149,Ontario,ice hockey,0.52,58,False,South,,,
Tiara Booth,535320169482,Quebec,ice hockey,0.85,44,False,East,,,
Dania Lin,209633885524,Ontario,cricket,0.59,30,False,South,,,
Maggie Santos,750330370194,Quebec,soccer,0.33,25,False,East,,,
Cordell Lamb,930521684568,British Columbia,cricket,0.46,63,False,West,,,
Maci Douglas,875127770357,Alberta,ice hockey,0.67,36,False,West,,,
Gary Ray,256910887839,Nova Scotia,baseball,0.31,26,False,East,,,
Angela Clark,994561615339,British Columbia,soccer,0.77,73,False,West,,,
Colten Steele,838043486356,Ontario,cricket,0.63,23,False,South,,,
Dylan Arnold,825138587740,Manitoba,soccer,0.45,27,True,South,not interested,False,
Kendall Dorsey,367487944078,Nova Scotia,soccer,0.26,34,False,East,,,
Aydin Rowland,899921761913,Quebec,tennis,0.4,22,False,East,,,
Camryn Mejia,689216473841,Ontario,soccer,0.51,25,True,South,interested,True,approved
Jeremiah Odonnell,820896293262,Nova Scotia,ice hockey,0.29,77,False,East,,,
Rodolfo Manning,524326631755,Ontario,ice hockey,0.39,43,True,South,interested,True,rejected
Tara Bryan,470882800042,Ontario,ice hockey,0.21,26,False,South,,,
Kamila Collier,258496556490,Alberta,ice hockey,0.23,37,False,West,,,
Essence Everett,675730260194,Quebec,ice hockey,0.47,24,True,East,not interested,False,
Jase Case,915864082650,Ontario,cricket,0.2,21,False,South,,,
Harley Ritter,75624364544,Quebec,soccer,0.57,19,False,East,,,
Taylor Young,897414795711,Saskatchewan,ice hockey,0.36,18,True,West,not interested,False,
Shayla Huffman,101709142175,Alberta,soccer,0.59,24,True,West,dead line,False,
Annika Cruz,194304533629,Ontario,ice hockey,0.46,35,True,South,not interested,False,
Eliza Leblanc,390275333609,Quebec,ice hockey,0.64,21,False,East,,,
Johan Boyer,353942985983,Newfoundland and Labrador,ice hockey,0.2,22,False,East,,,
Byron Ford,320574108071,Alberta,ice hockey,0.32,24,True,West,not interested,False,
Clarence Lyons,450264867513,Ontario,soccer,0.32,57,False,South,,,
Heidi Lutz,579078084368,Alberta,ice hockey,0.72,50,False,West,,,
Deacon Boyle,693619765114,Alberta,baseball,0.18,31,True,West,interested,False,
Semaj Zhang,943092865523,Nova Scotia,cricket,0.87,20,False,East,,,
Holden Vega,611348281721,British Columbia,tennis,0.68,28,True,West,interested,True,rejected
Cedric Simmons,311261790449,Northwest Territories,soccer,0.66,23,False,North,,,
Joseph Maynard,579523234938,Manitoba,baseball,0.15,25,False,South,,,
Kaylynn Gilbert,478671675481,Manitoba,baseball,0.18,76,False,South,,,
Olive Russo,889417017806,Manitoba,ice hockey,0.26,56,False,South,,,
Nathanael Hansen,923285183683,Ontario,baseball,0.76,68,False,South,,,
Chace Rios,245238746555,Manitoba,soccer,0.65,21,False,South,,,
Kendra Huff,593905797189,Saskatchewan,tennis,0.37,18,False,West,,,
Stephen Davenport,365687971332,Saskatchewan,baseball,0.75,33,True,West,interested,True,rejected
Fabian Thompson,124932672383,Manitoba,cricket,0.34,23,False,South,,,
Coby Nicholson,720193872904,Ontario,cricket,0.55,36,False,South,,,
Genevieve Chang,249069612625,Alberta,ice hockey,0.45,176,False,West,,,
Trevon Orr,735012516535,Ontario,soccer,0.44,18,False,South,,,
Silas Travis,617142951777,Ontario,soccer,0.17,33,False,South,,,
Summer Maddox,703102467124,Ontario,tennis,0.37,20,False,South,,,
Elsa Sawyer,95542836702,Quebec,soccer,0.78,26,True,East,interested,False,
Armani Logan,261074308614,Ontario,soccer,0.32,48,True,South,not interested,False,
Stanley Horn,692973355367,Newfoundland and Labrador,ice hockey,0.57,35,True,East,interested,True,rejected
Vance Austin,616430101387,Quebec,tennis,0.71,28,False,East,,,
Craig Mosley,631258381586,Manitoba,cricket,0.85,33,False,South,,,
Paula Friedman,14533856329,Nova Scotia,soccer,0.83,18,False,East,,,
Lyric Walter,712387929583,Quebec,cricket,0.71,66,False,East,,,
Quinn Baxter,382999622506,Saskatchewan,cricket,0.76,47,False,West,,,
Dakota Huang,694607534097,Quebec,ice hockey,0.42,27,False,East,,,
Luciana Norman,751795388793,Manitoba,rugby,0.56,44,False,South,,,
Joselyn Lane,807001050098,Ontario,soccer,0.31,23,False,South,,,
Sterling Lang,177132542636,British Columbia,baseball,0.14,23,True,West,interested,False,
Annika Evans,360784575705,Ontario,tennis,0.64,35,False,South,,,
Santiago Stokes,810074265210,Newfoundland and Labrador,tennis,0.23,36,True,East,not interested,False,
Mylee Daugherty,302316576519,Ontario,ice hockey,0.11,31,False,South,,,
Jasmin Benton,449578785728,Saskatchewan,soccer,0.1,46,False,West,,,
Brice Mckinney,162734660309,Nova Scotia,cricket,0.64,20,False,East,,,
Darion Guerrero,752741526870,Ontario,ice hockey,0.94,36,False,South,,,
Alonzo Noble,490279309775,Saskatchewan,soccer,0.3,33,False,West,,,
Royce Mooney,594175230451,Manitoba,ice hockey,0.41,53,True,South,not interested,False,
Darian Sosa,606459383829,Saskatchewan,ice hockey,0.38,26,True,West,not interested,False,
Destiney Fleming,690008512417,Prince Edward Island,rugby,0.6,38,False,East,,,
Cordell Poole,876366002808,Manitoba,tennis,0.14,43,False,South,,,
Leanna Fitzpatrick,144518672456,Manitoba,baseball,0.16,43,False,South,,,
Ariella Curry,158445184465,New Brunswick,tennis,0.43,33,False,East,,,
Lilly Arroyo,847461390936,Ontario,soccer,0.44,22,False,South,,,
Taniyah Pearson,187756960036,Newfoundland and Labrador,tennis,0.19,44,True,East,not interested,False,
Desiree Evans,808491202287,Ontario,ice hockey,0.45,24,False,South,,,
Neil Velasquez,5993795579,Ontario,cricket,0.28,23,False,South,,,
Muhammad Gilbert,725051971815,Manitoba,ice hockey,0.49,37,False,South,,,
Zackery Beasley,456755460324,British Columbia,soccer,0.61,57,False,West,,,
Amira Benson,798269604735,Ontario,ice hockey,0.55,59,False,South,,,
Briana Rhodes,655051370463,Ontario,soccer,0.62,48,True,South,interested,True,approved
Vance Rich,403981709175,Alberta,baseball,0.19,55,False,West,,,
Clayton Stevenson,145232978834,Prince Edward Island,rugby,0.29,73,True,East,not interested,False,
Dalton Hines,467984170396,Alberta,basketball,0.42,56,False,West,,,
Reagan Juarez,290505787434,Alberta,ice hockey,0.4,32,False,West,,,
Yandel Doyle,342012650157,Manitoba,cricket,0.66,75,True,South,not interested,False,
Julien Johns,252302107506,Saskatchewan,ice hockey,0.48,38,False,West,,,
Xiomara Pennington,775473658551,Ontario,ice hockey,0.62,31,False,South,,,
Jaqueline Cohen,394738938955,Quebec,cricket,0.38,52,False,East,,,
Leila Rodgers,495150142378,Quebec,ice hockey,0.3,18,True,East,not interested,False,
Jordyn Pearson,187103456411,Alberta,baseball,0.22,49,False,West,,,
Easton Carney,435425806513,New Brunswick,cricket,0.3,41,False,East,,,
Philip Lamb,326726156831,Ontario,cricket,0.48,19,False,South,,,
Jon Armstrong,60967798648,Ontario,soccer,0.35,24,False,South,,,
Chana Guerrero,894769726909,Saskatchewan,soccer,0.36,19,False,West,,,
Dustin Liu,453834273923,Quebec,soccer,0.38,41,False,East,,,
Tate Rios,86199215667,Ontario,ice hockey,0.32,63,False,South,,,
Brendon Mcbride,91697847721,British Columbia,rugby,0.55,73,False,West,,,
Genesis Salas,638398777389,Prince Edward Island,baseball,0.14,46,False,East,,,
Austin Clements,550291101822,Ontario,soccer,0.57,19,False,South,,,
Eli Booth,787053190333,Ontario,cricket,0.42,33,False,South,,,
Omar Cline,817387052949,Quebec,baseball,0.45,20,False,East,,,
Luciano Hogan,295609888571,New Brunswick,baseball,0.45,31,False,East,,,
Ruben Chaney,816326036563,Saskatchewan,baseball,0.16,34,False,West,,,
Jamie Roth,129859028060,Quebec,ice hockey,0.31,27,False,East,,,
Jakayla Golden,975194660842,Quebec,baseball,0.72,59,True,East,interested,True,rejected
Miles Meadows,628408449518,Saskatchewan,ice hockey,0.47,23,False,West,,,
Linda Torres,808652837410,Ontario,ice hockey,0.3,31,True,South,dead line,False,
Richard Calhoun,486288795461,Newfoundland and Labrador,ice hockey,0.13,46,False,East,,,
Elisabeth Dixon,780151846115,Saskatchewan,ice hockey,0.41,18,True,West,not interested,False,
Shannon Rice,501307061595,New Brunswick,tennis,0.48,28,False,East,,,
Jonathan Frederick,74698522582,Quebec,cricket,0.64,19,False,East,,,
Cheyanne Houston,772908598073,Manitoba,ice hockey,0.26,26,False,South,,,
Taylor Bridges,429832822200,Ontario,ice hockey,0.51,30,False,South,,,
Janet Duke,863955924143,Alberta,cricket,0.25,28,False,West,,,
Keaton Tanner,419371218771,Saskatchewan,ice hockey,0.47,25,False,West,,,
Alvin Sanford,210710341913,Alberta,ice hockey,0.27,20,False,West,,,
Eileen Arnold,574884343987,Manitoba,soccer,0.42,44,False,South,,,
Terry Beasley,724490928146,Nova Scotia,ice hockey,0.33,33,True,East,not interested,False,
Porter Roth,595099597421,Ontario,soccer,0.3,40,False,South,,,
Layla Brewer,356109428754,Quebec,baseball,0.66,39,False,East,,,
Joyce Hester,626566099191,Alberta,cricket,0.53,19,True,West,not interested,False,
India Duran,182384080040,Ontario,rugby,0.57,42,False,South,,,
Zain Douglas,616222067438,Ontario,baseball,0.99,28,False,South,,,
Mallory Knox,763378376380,Prince Edward Island,soccer,0.1,100,False,East,,,
Valentino Huerta,10447198463,British Columbia,soccer,0.69,22,False,West,,,
Marlee Weber,292999712766,Quebec,ice hockey,0.11,57,False,East,,,
Kole Chang,705451692503,Alberta,soccer,0.69,33,True,West,not interested,False,
Karli Mooney,880393739864,Ontario,tennis,0.12,31,False,South,,,
Landon Case,766417832064,Manitoba,baseball,0.5,36,True,South,interested,True,rejected
Bentley Wood,751534945902,Manitoba,ice hockey,0.48,34,False,South,,,
Olivia Pineda,815459182913,Manitoba,baseball,0.82,28,True,South,not interested,False,
Monique Murphy,519923095767,Nova Scotia,soccer,0.33,44,True,East,not interested,False,
Anderson Lyons,229672750616,Ontario,ice hockey,0.89,36,True,South,interested,True,rejected
Reuben Saunders,987501711500,Nova Scotia,tennis,0.48,25,False,East,,,
Moshe Frey,665748142898,Quebec,soccer,0.7,81,False,East,,,
Julianna Tucker,973369957950,Quebec,baseball,0.51,48,True,East,interested,True,rejected
Bronson Fuller,955220621451,Manitoba,soccer,0.41,73,False,South,,,
Nathalia Villegas,201406573077,Newfoundland and Labrador,baseball,0.46,94,True,East,interested,True,rejected
Christina Mcknight,842199888876,Nova Scotia,soccer,0.14,42,False,East,,,
Julissa Maxwell,943634779948,Ontario,cricket,0.44,18,False,South,,,
Mireya Stephenson,884238087837,Ontario,ice hockey,0.53,19,False,South,,,
Avery Horne,592974624872,Nova Scotia,ice hockey,0.65,44,False,East,,,
Kaylin Parsons,705405403766,Saskatchewan,cricket,0.38,108,True,West,interested,True,rejected
Alfredo Adams,178348619386,Ontario,baseball,0.18,42,False,South,,,
Fiona Krause,697133881854,Saskatchewan,baseball,0.22,21,False,West,,,
Ryan Rios,923339628326,Ontario,cricket,0.23,36,True,South,dead line,False,
Jermaine Baird,751156848585,Saskatchewan,ice hockey,0.2,21,False,West,,,
Troy Nicholson,718893412093,Alberta,soccer,0.31,44,False,West,,,
Jaden Irwin,359439334753,Alberta,baseball,0.19,37,False,West,,,
Cindy Espinoza,586375849756,Saskatchewan,rugby,0.23,34,False,West,,,
Christina Pitts,409991194844,Quebec,cricket,0.26,105,False,East,,,
Katelyn Kent,749532381484,Quebec,soccer,0.17,30,False,East,,,
Dakota Kelley,433366750103,Yukon,ice hockey,0.37,68,False,North,,,
Johan Dominguez,542612269315,Manitoba,soccer,0.15,29,False,South,,,
Brett Haas,444539604012,Manitoba,ice hockey,0.33,18,False,South,,,
Jameson Abbott,762284785356,Ontario,ice hockey,0.44,103,True,South,not interested,False,
Osvaldo Chandler,394110248105,Quebec,ice hockey,0.38,24,True,East,not interested,False,
Alonzo Solis,803042335878,Ontario,cricket,0.52,20,False,South,,,
Jermaine Orr,861526695609,Ontario,ice hockey,0.21,22,False,South,,,
Marlie Salinas,640012208616,Prince Edward Island,baseball,0.36,117,True,East,not interested,False,
Jamar Terry,293191380537,British Columbia,ice hockey,0.71,32,False,West,,,
Hayley Escobar,67565113075,Ontario,basketball,0.62,27,False,South,,,
Kareem Oconnor,612659725973,Ontario,baseball,0.14,34,False,South,,,
Weston Shannon,989281618172,Ontario,ice hockey,0.7,19,False,South,,,
Ariel Hernandez,834578629180,Saskatchewan,soccer,0.62,50,False,West,,,
Vivian Foster,967742850436,British Columbia,cricket,0.81,24,True,West,interested,True,rejected
Landyn Hatfield,781831648643,Ontario,baseball,0.47,40,False,South,,,
Haiden Hopkins,260291570647,Ontario,baseball,0.6,42,False,South,,,
